2022-07-09 15:23:04.864:   ITEM[reboot_soft] - FUNCTION[RebootSoftProxy]
2022-07-09 15:23:04.865:   Turn 0:
2022-07-09 15:23:04.865:   Get IP from the DHCP with MAC is "649714048d60"
2022-07-09 15:23:04.865:   IP: 172.168.1.0
2022-07-09 15:23:04.865:   [CONFIG] Times: 2
2022-07-09 15:23:04.865:   cycle Times: 0 - 2
2022-07-09 15:23:04.865:   [Telnet] Connect to host: 172.168.1.0
2022-07-09 15:23:04.865:   [Telnet] Port is: 23
2022-07-09 15:23:04.865:   [Cmd] Send command: arp -d 172.168.1.0
2022-07-09 15:23:04.867:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-09 15:23:04.891:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-09 15:23:04.891:   [Cmd] Reply from 172.168.1.0: bytes=32 time<1ms TTL=64
2022-07-09 15:23:04.891:   [Cmd] 
2022-07-09 15:23:04.891:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-09 15:23:04.891:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-09 15:23:04.891:   [Cmd] Approximate round trip times in milli-seconds:
2022-07-09 15:23:04.891:   [Cmd] Minimum = 0ms, Maximum = 0ms, Average = 0ms
2022-07-09 15:23:04.891:   [Cmd] ------------------------------------
2022-07-09 15:23:05.192:   [Telnet] 
2022-07-09 15:23:05.192:   [Telnet] === IMPORTANT ============================
2022-07-09 15:23:05.192:   [Telnet] Use 'passwd' to set your login password!
2022-07-09 15:23:05.192:   [Telnet] ------------------------------------------
2022-07-09 15:23:05.192:   [Telnet] 
2022-07-09 15:23:05.192:   [Telnet] 
2022-07-09 15:23:05.192:   [Telnet] BusyBox v1.30.1 () built-in shell (ash)
2022-07-09 15:23:05.192:   [Telnet] 
2022-07-09 15:23:05.192:   [Telnet] MM           NM                    MMMMMMM          M       M
2022-07-09 15:23:05.192:   [Telnet] $MMMMM        MMMMM                MMMMMMMMMMM      MMM     MMM
2022-07-09 15:23:05.192:   [Telnet] MMMMMMMM     MM MMMMM.              MMMMM:MMMMMM:   MMMM   MMMMM
2022-07-09 15:23:05.192:   [Telnet] MMMM= MMMMMM  MMM   MMMM       MMMMM   MMMM  MMMMMM   MMMM  MMMMM'
2022-07-09 15:23:05.192:   [Telnet] MMMM=  MMMMM MMMM    MM       MMMMM    MMMM    MMMM   MMMMNMMMMM
2022-07-09 15:23:05.192:   [Telnet] MMMM=   MMMM  MMMMM          MMMMM     MMMM    MMMM   MMMMMMMM
2022-07-09 15:23:05.192:   [Telnet] MMMM=   MMMM   MMMMMM       MMMMM      MMMM    MMMM   MMMMMMMMM
2022-07-09 15:23:05.192:   [Telnet] MMMM=   MMMM     MMMMM,    NMMMMMMMM   MMMM    MMMM   MMMMMMMMMMM
2022-07-09 15:23:05.192:   [Telnet] MMMM=   MMMM      MMMMMM   MMMMMMMM    MMMM    MMMM   MMMM  MMMMMM
2022-07-09 15:23:05.192:   [Telnet] MMMM=   MMMM   MM    MMMM    MMMM      MMMM    MMMM   MMMM    MMMM
